2,13,10,40,"A870_50nA_20um_146.4_spot-4"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06961475059581117,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A870_50nA_20um_146.4_spot-5"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06601140325554648,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A870_50nA_20um_146.4_spot-6"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06395017308932881,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A870_50nA_20um_146.6_spot-1"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06118508564683558,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A870_50nA_20um_146.6_spot-2"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06539720028157334,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A870_50nA_20um_146.6_spot-3"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06664483625600981,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A870_50nA_20um_146.6_spot-4"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.06737874207695184,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A870_50nA_20um_146.6_spot-5"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0676550972937914,0
"h","",2,1,"","",0,0
"Si","",1,2,"",30.05606539478699,0,0
"Ti","",1,2,"",0.1258620085192911,0,0
"Al","",2,3,"",7.303659565813987,0,0
"Fe","",1,1,"",0.023319145263931494,0,0
"Mn","",1,1,"",0.023233729056143532,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.7647191203586473,0,0
"Na","",2,1,"",4.04312324476669,0,0
"K","",2,1,"",1.9757517092020893,0,0
"P","",2,5,"",0.02182103300893852,0,0
"o","",1,0,"","",0,0
